Wavelength,HER20,HER21,HER23,HER24,HER25,HER27,HER28,HER29,HER30,HER32,HER34,HER46,HER47,HER48,EEA1,EEA3,EIS1,EIS2,EIS3,ESU1,ESU2,ESU3,ETH1,ETH2,ETH3,HY+,HY-
300,12,12,10,11,13,26,11,12,12,13,13,19,14,13,12,14,11,7,8,11,9,9,7,8,13,3,2
301,12,12,9,10,13,25,11,12,12,12,13,19,13,12,11,14,10,7,7,10,8,9,6,8,12,2,1
302,11,12,9,10,12,25,10,12,11,12,12,18,13,12,11,14,10,6,7,10,7,8,6,7,12,2,1
303,11,12,9,10,12,25,10,11,11,12,12,18,13,12,11,14,9,6,7,10,7,8,5,7,11,1,1
304,11,12,8,10,12,25,10,11,11,12,12,18,12,12,10,14,9,6,6,9,7,8,5,7,11,1,0
305,11,12,8,10,12,24,10,11,11,12,12,18,12,12,10,14,9,6,6,9,7,7,5,6,11,1,0
306,11,12,9,10,12,24,10,11,11,12,12,18,12,12,10,14,9,6,6,9,6,7,5,6,11,1,0
307,11,12,9,10,12,24,10,11,11,12,12,18,12,12,10,14,9,6,6,9,6,7,5,6,11,1,0
308,11,12,9,10,12,24,10,11,11,12,12,19,12,12,11,14,9,6,6,9,6,7,5,6,11,1,0
309,11,12,9,10,13,24,10,11,11,12,12,19,12,12,11,14,9,6,6,9,6,7,5,6,11,1,0
310,11,12,9,10,13,24,10,12,11,12,12,19,12,12,11,15,9,6,6,9,6,7,5,6,11,1,0
311,11,13,9,10,13,24,10,12,11,12,12,19,12,12,11,15,9,6,6,9,6,7,5,6,11,1,0
312,11,13,9,10,13,24,10,12,11,12,12,19,12,12,11,15,9,6,7,9,6,7,5,6,11,1,0
313,11,13,9,10,13,23,10,12,11,13,12,19,12,12,11,15,9,6,7,9,6,7,5,6,11,1,0
314,11,13,9,10,13,23,10,12,11,13,12,18,12,12,11,15,9,6,7,9,6,7,5,6,11,2,0
315,11,13,9,10,13,23,10,12,11,13,12,18,11,12,11,15,9,6,7,9,6,7,5,6,11,2,0
316,11,13,9,10,13,23,10,12,11,13,12,18,11,12,11,15,9,6,7,9,6,7,5,6,11,2,0
317,11,13,9,10,13,23,10,12,11,13,12,18,11,12,11,15,9,6,7,9,6,6,5,6,10,2,0
318,11,13,9,10,13,22,10,12,11,13,12,18,11,12,11,15,8,6,7,9,6,6,5,6,10,2,0
319,11,13,9,10,13,22,10,12,11,13,12,18,11,12,11,15,8,6,7,9,6,6,5,6,10,3,0
320,11,13,9,10,13,22,10,12,11,13,12,18,11,12,11,15,8,6,7,9,6,6,4,6,10,3,0
321,11,13,9,10,13,22,10,12,11,13,12,18,11,12,11,15,8,6,6,9,6,6,4,6,10,3,0
322,11,13,9,10,13,22,10,12,11,13,12,18,11,12,11,15,8,6,6,9,6,6,4,6,10,3,0
323,11,13,9,10,13,21,10,12,11,13,12,17,11,12,11,14,8,6,6,8,6,6,4,6,10,4,0
324,11,13,9,10,13,21,10,12,11,13,12,17,11,11,11,14,8,5,6,8,6,6,4,6,10,4,0
325,11,13,9,10,13,21,10,11,11,12,12,17,10,11,11,14,8,5,6,8,6,6,4,6,10,4,0
